Unnamed: 0,prename,week_end,sex,age,rV
63,British Columbia,2021-03-29,All sexes,80+,0.0156757625831207
60,British Columbia,2021-03-30,All sexes,0–17,2.6177201631385715e-05
61,British Columbia,2021-03-30,All sexes,18–69,0.0029742415556577
62,British Columbia,2021-03-30,All sexes,70–79,0.0284735124511359
63,British Columbia,2021-03-30,All sexes,80+,0.0156757625831207
60,British Columbia,2021-03-31,All sexes,0–17,2.6177201631385715e-05
61,British Columbia,2021-03-31,All sexes,18–69,0.0029742415556577
62,British Columbia,2021-03-31,All sexes,70–79,0.0284735124511359
63,British Columbia,2021-03-31,All sexes,80+,0.0156757625831207
60,British Columbia,2021-04-01,All sexes,0–17,2.6177201631385715e-05
61,British Columbia,2021-04-01,All sexes,18–69,0.0029742415556577
