,C1M_School.closing,Date,datetime
898,1,20220617,2022/6/17
899,1,20220618,2022/6/18
900,1,20220619,2022/6/19
901,1,20220620,2022/6/20
902,1,20220621,2022/6/21
903,1,20220622,2022/6/22
904,1,20220623,2022/6/23
905,1,20220624,2022/6/24
906,1,20220625,2022/6/25
907,1,20220626,2022/6/26
908,1,20220627,2022/6/27
909,1,20220628,2022/6/28
910,1,20220629,2022/6/29
911,1,20220630,2022/6/30
912,1,20220701,2022/7/1
913,1,20220702,2022/7/2
914,1,20220703,2022/7/3
915,1,20220704,2022/7/4
916,1,20220705,2022/7/5
917,1,20220706,2022/7/6
918,1,20220707,2022/7/7
919,1,20220708,2022/7/8
